0,14;6,92;7,78;3,36;1
5,13;9,61;2,22;6,08;2
6,36;8,35;0,32;6,83;2
4,98;9,41;1,77;5,49;2
5,30;8,49;1,04;2,54;2
0,98;3,23;5,76;5,48;1
2,51;8,73;1,44;4,98;2
7,89;5,44;5,92;6,16;1
3,69;8,06;0,93;1,20;2
1,68;8,01;1,37;4,83;2
8,22;7,30;9,46;0,38;1
1,67;0,15;1,61;2,70;1
9,17;6,83;8,99;9,94;1
3,36;9,79;1,39;0,05;2
0,79;9,06;0,46;4,24;2
6,92;4,02;6,48;5,12;2
3,81;5,61;7,67;6,38;1
1,98;5,23;8,30;7,41;1
3,84;8,96;1,48;3,82;2
7,77;8,32;0,18;2,42;2
7,37;6,44;5,88;4,81;1
9,90;2,98;7,86;9,14;2
2,63;5,89;8,89;3,70;1
2,78;9,08;1,09;9,48;2
4,45;1,93;4,40;0,70;1
5,08;5,38;9,94;7,97;1
3,87;9,44;1,15;6,48;2
6,87;5,99;8,55;1,64;1
7,45;9,75;0,85;8,86;2
4,23;3,53;5,24;3,88;1
7,58;8,53;2,34;3,39;2
5,03;8,67;1,69;9,36;2
5,97;9,94;1,04;3,29;2
4,19;9,14;1,15;1,09;2
0,98;9,91;0,66;6,30;2
3,13;9,00;0,06;7,03;2
4,09;9,83;0,87;1,89;2
3,01;5,36;8,57;1,08;1
5,39;9,93;0,70;6,40;2
2,60;5,20;6,09;1,25;1
9,91;2,84;8,65;7,27;2
2,29;5,28;8,55;2,30;1
2,90;7,58;4,43;8,09;1
0,76;6,69;6,76;1,24;1
3,77;0,82;3,64;6,58;1
4,13;8,90;1,61;0,19;2
7,41;6,01;9,99;9,42;1
0,18;9,08;1,32;0,39;2
8,51;4,56;6,30;9,85;2
1,42;8,46;2,26;0,64;2
5,48;6,74;8,57;6,95;1
9,77;6,18;6,34;6,53;1
7,59;8,87;1,55;9,30;2
9,27;8,34;0,59;9,53;2
1,11;8,15;0,99;7,42;2
5,17;3,91;6,15;6,54;2
9,22;5,31;5,66;9,74;1
2,83;3,85;0,20;6,00;1
6,80;6,58;6,75;5,33;1
3,37;9,09;2,11;8,23;2
7,51;9,56;0,25;5,78;2
7,09;6,27;7,09;0,20;1
2,38;9,07;1,42;1,66;2
6,20;8,37;2,32;9,52;2
8,64;4,42;7,26;2,02;2
4,36;8,88;2,41;4,53;2
2,89;7,36;7,31;4,47;1
1,93;9,44;0,42;4,15;2
9,32;6,45;4,38;8,61;1
2,29;0,64;6,49;0,18;1
1,05;2,88;6,02;0,72;1
6,89;8,02;0,62;3,77;2
1,39;7,92;3,91;1,78;1
9,74;9,32;1,39;0,37;2
6,16;8,74;0,43;5,71;2
0,32;7,31;6,82;4,33;1
6,53;8,82;2,46;5,19;2
0,35;5,77;6,57;1,51;1
5,10;6,27;7,67;9,30;1
8,46;9,35;0,80;5,16;2
1,13;8,68;0,06;6,71;2
9,24;9,09;1,64;0,55;2
4,07;7,52;8,47;2,09;1
6,69;7,12;8,85;0,29;1
0,27;6,94;5,70;5,63;1
8,45;4,76;6,24;5,33;2
1,89;2,24;6,19;8,63;1
5,40;5,94;6,21;6,83;1
4,76;8,32;1,74;1,04;2
7,91;9,12;2,11;5,93;2
5,46;8,02;2,37;7,72;2
4,00;6,88;6,53;8,83;1
6,89;3,92;9,47;7,87;2
0,37;6,69;7,82;2,56;1
9,08;2,27;6,77;8,15;2
9,46;9,37;1,38;4,87;2
8,46;0,68;8,10;2,20;2
4,46;5,70;8,62;8,97;1
3,67;8,85;1,90;7,49;2
9,06;4,69;6,09;4,48;2
7,57;6,04;6,13;9,03;1
1,61;6,81;8,28;2,26;1
9,16;9,47;2,30;7,98;2
7,67;8,85;2,27;4,69;2
9,92;1,57;8,82;9,53;2
3,69;6,56;6,82;6,58;1
5,52;6,75;6,75;0,78;1
4,83;8,56;1,79;6,32;2
2,68;7,05;9,97;4,71;1
8,72;9,63;1,20;8,90;2
1,22;6,93;6,53;7,67;1
3,76;6,84;5,40;9,30;1
8,93;6,86;5,33;1,95;1
3,51;6,71;9,93;1,11;1
0,43;8,05;2,68;5,05;2
7,63;9,47;1,90;4,90;2
6,99;8,81;0,59;4,15;2
8,01;0,75;9,88;3,11;2
6,56;9,79;0,92;9,55;2
4,50;3,86;0,91;1,68;1
6,39;0,17;9,97;4,71;2
8,39;1,90;8,42;6,39;2
6,90;7,78;9,74;1,25;1
4,79;1,78;0,87;1,06;1
6,66;7,12;4,24;5,11;1
5,87;1,86;7,54;8,52;2
1,76;9,21;1,14;3,83;2
3,38;6,66;9,89;1,17;1
2,74;7,30;9,09;3,64;1
5,66;5,99;7,76;0,68;1
2,27;8,51;1,91;2,15;2
0,32;6,95;8,13;5,16;1
2,88;9,60;1,09;0,66;2
8,23;6,42;4,33;9,80;1
